% source: http://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=5000 vectors and M=15 Gaussian clusters with different degree of cluster overlapping.
%
% P. Fränti and O. Virmajoki, "Iterative shrinking method for clustering problems", Pattern Recognition, 39 (5), 761-765, May 2006.
%
@RELATION s-set1

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0}

@DATA
664159,550946,0
665845,557965,0
597173,575538,0
618600,551446,0
635690,608046,0
588100,557588,0
582015,546191,0
604678,574577,0
572029,518313,0
604737,574591,0
577728,587566,0
602013,574722,0
627968,574625,0
607269,536961,0
603145,574795,0
671919,571761,0
612184,570393,0
600032,575310,0
627912,593892,0
601967,604428,0
591851,569051,0
601444,572693,0
629718,558104,0
661430,603567,0
597551,556737,0
601182,582584,0
562704,570596,0
605107,563429,0
607214,575069,0
568824,570203,0
612485,518009,0
589244,573777,0
625579,551084,0
560237,500154,0
626224,569687,0
610666,551701,0
597428,569940,0
600582,599535,0
604168,555003,0
613871,550423,0
617310,551945,0
625728,579460,0
606300,566708,0
638559,558807,0
582176,630383,0
544056,577786,0
631297,578351,0
561574,621747,0
604973,574773,0
605284,556134,0
617910,592293,0
555904,640401,0
526559,509417,0
603849,572396,0
598634,619900,0
603359,589262,0
657455,567754,0
614279,599251,0
578496,631434,0
645171,595209,0
688015,533535,0
656477,573007,0
540029,563888,0
597418,538362,0
613545,574733,0
628696,542447,0
604157,574191,0
603126,497987,0
605850,533310,0
596179,529556,0
610330,552628,0
598184,531473,0
620438,511694,0
600202,622079,0
603021,577991,0
515612,540643,0
606548,574376,0
593490,623110,0
607084,595500,0
583728,563146,0
616044,533807,0
624452,584622,0
604438,574666,0
625709,660145,0
601376,579831,0
565148,557305,0
639418,537903,0
612799,537497,0
583653,652182,0
599808,596484,0
605250,573272,0
606738,601356,0
611044,571814,0
575440,568511,0
616329,529516,0
605927,572533,0
609286,586782,0
647354,579190,0
606929,571420,0
562920,559223,0
680357,620811,0
707100,601463,0
604294,574368,0
614917,600946,0
611508,503220,0
603789,574474,0
551740,588768,0
546031,570429,0
569197,559307,0
688712,568754,0
604067,574091,0
606809,572101,0
588597,622592,0
613840,534167,0
576263,547239,0
597077,568196,0
601339,571609,0
606011,569426,0
593398,559764,0
593166,622725,0
609796,532982,0
712648,607541,0
585048,505097,0
525967,565687,0
660327,585901,0
607604,573951,0
604001,573587,0
591484,571087,0
613868,585089,0
645464,660478,0
538571,654649,0
555429,604551,0
597620,586226,0
586097,567445,0
545235,539822,0
649088,575733,0
599123,616977,0
563763,559454,0
617717,613939,0
618869,577243,0
567188,560044,0
636628,533309,0
560362,567914,0
595014,632844,0
605876,550640,0
604352,573425,0
600679,599545,0
596891,579476,0
614943,540976,0
604415,571400,0
603698,573585,0
658199,568743,0
598759,582942,0
671269,590258,0
593317,534085,0
657985,453405,0
608557,590278,0
623004,508050,0
601900,569391,0
641031,593074,0
589658,640498,0
567565,573952,0
559078,570088,0
639431,588155,0
566609,537592,0
568570,579335,0
660650,615038,0
667639,571164,0
596796,529933,0
606111,617846,0
616060,590779,0
602873,527864,0
571334,594145,0
602167,543919,0
605100,573307,0
546640,560043,0
585195,555011,0
651740,589474,0
589112,536573,0
582057,543124,0
690968,555952,0
609030,552436,0
632125,541413,0
603445,630598,0
628264,616214,0
577242,574073,0
604090,574392,0
607911,576556,0
600665,638890,0
600117,539079,0
631182,565466,0
695646,652231,0
619445,567491,0
613191,571942,0
567428,580005,0
590583,623314,0
606289,670243,0
585175,574133,0
634967,579020,0
614615,574437,0
593061,579188,0
606933,576409,0
606587,573873,0
594084,629464,0
683697,581516,0
601530,577183,0
603055,589818,0
616561,619007,0
607463,477085,0
611581,572630,0
579712,568354,0
602887,595245,0
600039,557139,0
605913,579526,0
579773,568698,0
606324,544357,0
605958,573728,0
606144,575076,0
667472,570571,0
580048,565009,0
597802,576113,0
610263,574422,0
603855,575180,0
624369,532153,0
599870,591110,0
577167,617095,0
658403,611332,0
563460,480559,0
610980,522819,0
569422,567790,0
627727,578737,0
592804,584539,0
540783,626497,0
591823,639096,0
637323,549567,0
638078,629421,0
611315,560757,0
647103,573853,0
522993,595581,0
601187,531825,0
533799,564377,0
649034,528813,0
620975,564344,0
622407,583192,0
597026,642918,0
551291,576721,0
608768,610525,0
697959,614701,0
658281,582264,0
546632,599204,0
672565,564468,0
636500,587401,0
696144,548705,0
533551,582247,0
526802,551524,0
553038,606418,0
696601,603624,0
588964,597435,0
716139,621721,0
608529,586311,0
557378,567033,0
589994,610890,0
589344,563119,0
624415,515911,0
565483,551512,0
584895,574666,0
582777,542670,0
639394,576728,0
608298,573748,0
663578,586265,0
628080,562986,0
597421,554767,0
595193,576508,0
658103,572250,0
659529,498474,0
606415,581386,0
641976,577433,0
587466,564953,0
589180,595099,0
601885,573083,0
580561,528916,0
621726,578003,0
558817,576255,0
620213,574468,0
594010,570095,0
541976,512639,0
593840,578685,0
602667,575857,0
631446,561156,0
596481,567449,0
611318,581584,0
568546,564911,0
593865,572987,0
597017,575588,0
578804,573582,0
673750,594081,0
592714,553958,0
594029,586701,0
668502,563937,0
629533,537542,0
801539,318482,0
801667,318542,0
814045,332998,0
800479,321640,0
757470,224976,0
844536,424646,0
797105,316002,0
779956,271501,0
797205,313318,0
801323,316240,0
783666,262902,0
806131,312752,0
830658,368694,0
802482,335269,0
801910,325434,0
808062,337340,0
789833,304422,0
803603,327255,0
800865,312968,0
802237,318526,0
803959,315173,0
800123,312312,0
780927,285057,0
797242,324588,0
801551,320544,0
809182,319115,0
801931,317202,0
870801,476330,0
820327,352701,0
801093,317509,0
798523,324500,0
805237,318655,0
803375,311620,0
801441,323812,0
797313,317527,0
788220,301915,0
790395,300024,0
817135,349925,0
797787,301470,0
804630,332333,0
808710,330379,0
802111,320817,0
796375,309563,0
819768,346596,0
814605,354382,0
800565,319364,0
802089,313456,0
814401,341234,0
796609,319691,0
776131,248465,0
803464,329093,0
802646,317894,0
809550,327365,0
795322,311178,0
830450,393096,0
778414,260729,0
800041,318331,0
802814,320130,0
802738,312234,0
823913,369439,0
803386,318982,0
812869,346251,0
798904,324420,0
800447,331643,0
807446,342555,0
804251,329956,0
797594,302109,0
803448,314797,0
765502,240340,0
795527,315510,0
794640,313497,0
